CORR,DESCRIPCION PROFESION/OFICIO
534,LIC. EN ADMON DE SISTEMAS INFORMATICOS
535,TECNICO OPERADOR Y PROGRAMADOR ANALISTA
536,TEC. EN ING. DE LAS COMUN. ELECTRONICAS
537,ING.EN AUTOMATIZACION
538,ING.(A) DE ALIMENTOS
539,ING.(A) EN SISTEMAS COMPUTACIONALES
540,TEC. EN SOFTWARE ADMINISTRATIVO
541,TEC ADMON Y OPERACION PORTUARIA
542,TEC. EN ADMON DE EMPRESAS GASTRONOMICAS
543,TEC ING ELECTRONICA OPC MTTO Y SERV COMP
544,TEC. EN ING. DE REDES INFORMATICAS
545,ING(A) EN ELECTRONICA Y COMUNICACIONES
546,TEC. EN INGENIERIA DE HARDWARE
547,ING.(A) AGROECONOMISTA
548,TEC. OPERADOR SOFTWARE
549,TECNICO EN CIENCIAS DE LA COMPUTACION
550,TEC. EN FOTOGRAFIA
551,LIC. EN ORTESIS Y PROTESIS
552,TEC. EN MANTENIMIENTO  AERONAUTICO.
553,TEC. EN AUDITORIA
554,LIC(A) EN INGENIERIA CIVIL
555,LIC(A) PERIODISMO Y COMUNIC. AUDIOVISUAL
556,TECNICO EN INGENIERIA MECATRONICA
557,TEC. SUP. GESTION Y DESARROLLO TURISTICO
558,ING.(A) MECATRONICA
559,LIC.(A) EN DISEÑO INDUSTRIAL Y DE PRODUC
560,TEC. SUPERIOR EN ACUICULTURA
561,TEC. EN MERCADEO Y VENTAS
562,TEC. EN INGENIERIA EN MEC. AUTOMOTRIZ
563,TECNICO EN RADIO Y TV DIGITAL A COLOR
564,TEC. EN PRODUCTIVIDAD Y CALIDAD
565,TEC EN DESARROLLO LOCAL Y GESTION MUNIC.
566,RESIDENTE DE ASILO
567,EDUC.
568,PROF.(A) EN ADMON DE LA EDUCACION
569,PROF.(A) EN BIOLOGIA Y QUIMICA
570,PROF.(A) EN CIENCIAS COMERCIALES
571,PROF.(A) EN CIENCIAS NATURALES
572,PROF.(A) EN CIENCIAS SOCIALES
573,PROF.(A) EN COMPUTACION
574,PROF.(A) EN EDUC. BASICA 1º Y 2º CICLO
575,PROF.(A) EN EDUC. ESPECIAL
576,PROF.(A) EN EDUC. FISICA
577,PROF.(A) EN EDUC. MEDIA
578,PROF.(A) EN FISICA Y MATEMATICA
579,PROF.(A) EN INGLES
580,PROF.(A) EN LENGUAJE Y LITERATURA
581,PROF.(A) EN LETRAS Y ESTETICA
582,PROF.(A) EN EDUCACION PARVULARIA
583,PROF.(A) EN TEOLOGIA
584,LIC.(A) EN CIENCIAS DE LA EDUC.
585,LIC.(A) EN EDUC. FISICA Y DEPORTES
586,LIC.(A) EN INGLES
587,LIC.(A) EN EDUC. ESPECIAL
588,LIC.(A) EN EDUC. PARVULARIA
589,MS. EN ADMON. DE CURRICULO
590,MS. EN EDUC. UNIVERSITARIA
591,PROF.(A) EN QUIMICA
592,PROF.(A) EN LETRAS
593,PROF.(A) EN MUSICA
594,PROF.(A) EN RELIGION
595,CATEDRATICO
596,PROFESOR(A)
597,LIC. EN EDUCACION EN POBLACION
598,MS. EN ADMON. Y DOCENCIA UNIVERSITARIA
599,LIC.(A) EN EDUCACION
600,LIC.(A) EN EDUCACION PARA LA SALUD
601,PROF.(A) EN BIOLOGIA
602,LIC.(A) EN EDUCACION DE ADULTOS
603,PROF.(A) EN CIENCIAS DE LA EDUCACION
604,ASESOR EDUCATIVO
605,MASTER EN RECURSOS HUMANOS
606,DIRECTOR DE CENTRO DE DESARROLLO
607,DIRECTOR(A)
608,DOCTOR(A) EN CIENCIAS DE LA EDUCACION
609,PROFESOR(A) EN EDUCACION  BASICA
610,LIC. EN CIENCIAS DE LA EDUCACION
611,PEDAGOGO
612,DOCTORADO EN QUIMICA BIOLOGICA
613,DOCTOR EN QUIMICA BIOLOGICA
614,MASTER EN CIENCIAS DE LA MATE. APLICADA
615,ALFABETIZADOR(A)
616,LIC.(A) EN ADMNISTRACION DE EDUCACION
617,PROFESOR TECNICO
618,STENOGRAFA
619,LIC. EN CC. DE LA EDUC. ESP.  INGLES
620,TECNICO EN RECURSOS HUMANOS
621,RECTOR (A)
622,SUB-DIRECTOR
623,PROMOTOR CULTURAL
624,LIC. EN ORIENTACION PROFESIONAL
625,PROFESOR EN MATEMATICA
626,LIC. EN BACTERIOLOGIA Y C.C. NATURALES
627,LIC. EN EDUCACION FISICA Y DEPORTE
628,LIC. EN ORIENTACION EDUCATIVA
629,MAESTRO(A) EN ADMON. DE TEC. E INF.
630,MAESTRA EN SALUD PUBLICA
631,DOCTOR EN HISTORIA
632,LIC. EN CIENCIAS NATURALES
633,DIPLO. EN HIGIENE Y SEGURIDAD INDUSTRIAL
634,MS. EN CIENCIAS
635,DR. EN ADMINISTRACION DE EMPRESAS
636,MASTER EN EDUCACION
637,MASTER EN EDUCACION SUPERIOR
638,MAESTRIA EN EDUCACION SUPERIOR
639,DR.(A) EN LETRAS Y HUMANIDADES
640,LIC.(A) EN LENGUAJE Y LITERATURA
641,PROF. EN EDUC. MEDIA P/EL IDIOMA INGLES
642,LIC(A) DE CIENCIAS DEL LENGUAJE
